SKU,Descripcion,Material,Precio_EUR,Alto,Diametro,Capacidad,foto
H.ALZ.DOL1,Cake stand clear,Acrílico,"30,25",,31 cm,,alzata-dolce-trasparente-1389.jpg
H.ALZ.GIR1,Girasole cake dome amber,Acrílico,"54,45",29 cm,26 cm,,girasole-ambra-1441.jpg
H.ALZ.GIR2,Girasole cake dome clera,Acrílico,"54,45",29 cm,26 cm,,girasole-trasparente-1444.jpg
H.ALZ.CUP1,Dome for Girasole stand,Acrílico,"14,52",,,,cupola-per-girasole-trasparente-2142.jpg
H.ALZ.NIN1,Ninfea cake dome amber,Acrílico,"30,25",16 cm,"20,5 cm",,ninfea-ambra-1445.jpg
H.ALZ.NIN2,Ninfea cake dome clear,Acrílico,"30,25",16 cm,"20,5 cm",,ninfea-trasparente-1447.jpg
H.ALZ.NIN3,Ninfea cake dome red,Acrílico,"30,25",16 cm,"20,5 cm",,ninfea-rosso-1446.jpg
H.ALZ.NIN4,Ninfea cake dome green,Acrílico,"30,25",16 cm,"20,5 cm",,ninfea-verde-1448.jpg
H.ALZ.NIN5,Ninfea cake dome gold,Acrílico,"33,88",16 cm,"20,5 cm",,ninfea-oro-2359.jpg
H.ALZ.SUS1,Susan centerpiece gold,Acrílico,"55,00","13,2 cm",31 cm,,susan-oro-2411.jpg
H.ALZ.SUS2,Susan centerpiece red,Acrílico,"55,00","13,2 cm",31 cm,,susan-rosso-2408.jpg
H.ALZ.SUS3,Susan centerpiece clear,Acrílico,"55,00","13,2 cm",31 cm,,susan-trasparente-2412.jpg
H.ALZ.SUS4,Susan centerpiece green,Acrílico,"55,00","13,2 cm",31 cm,,susan-verde-2413.jpg
H.BIK.BN1,Biancaneve Shot clear,Acrílico,"5,50",9 cm,"4,9 cm",,biancaneve-trasparente-2554.jpg
H.BIK.BN2,Biancaneve Shot gold,Acrílico,"5,50",9 cm,"4,9 cm",,biancaneve-oro-2553.jpg
H.BIK.BN3,Biancaneve Shot green,Acrílico,"5,50",9 cm,"4,9 cm",,biancaneve-verde-2552.jpg
H.BIK.BN4,Biancaneve Shot royal blue,Acrílico,"5,50",9 cm,"4,9 cm",,biancaneve-blu-2551.jpg
H.BIK.BN5,Biancaneve Shot red,Acrílico,"5,50",9 cm,"4,9 cm",,biancaneve-rosso-2550.jpg
H.BIK.BN6,Biancaneve Shot turquoise,Acrílico,"5,50",9 cm,"4,9 cm",,biancaneve-turchese-2549.jpg
H.BIK.DF1,Double Face tumbler fluo orange,Acrílico,"8,47",11 cm,9 cm,,double-face-arancio-1054.jpg
H.BIK.DF2,Double Face tumbler fluo green,Acrílico,"8,47",11 cm,9 cm,,double-face-verde-1055.jpg
H.BIK.DF3,Double Face tumbler fluo fuxia,Acrílico,"8,47",11 cm,9 cm,,double-face-fuxia-1053.jpg
H.BIK.DF4,Double Face tumbler light blue,Acrílico,"8,47",11 cm,9 cm,,double-face-turchese-1057.jpg
